CodPessoa,theta,enem_score,acertos,total_itens
8492138,0.371,537,36,45
8492663,0.348,535,31,45
8494321,-0.949,405,16,45
8498313,2.662,766,37,45
8498711,-0.906,409,13,45
8500587,-0.231,477,22,45
8506229,-0.59,441,20,45
8506349,-0.383,462,29,45
8515597,-1.391,361,12,45
8660904,-0.824,418,19,45
8660944,0.04,504,32,45
8661494,0.49,549,30,45
8661503,0.414,541,36,45
8661510,0.397,540,33,45
8662707,-1.046,395,14,45
8662721,-0.553,445,20,45
8662730,-0.987,401,14,45
8662734,-1.62,338,11,45
8662735,-1.452,355,16,45
8662738,-1.365,363,12,45
8662749,-1.542,346,10,45
8662759,-1.416,358,12,45
8662979,-4.0,100,0,45
8662984,3.045,804,39,45
8663006,0.711,571,35,45
8663008,3.045,804,39,45
8663013,-0.945,406,19,45
8663036,0.517,552,32,45
8663194,-1.215,378,15,45
8663708,-2.189,281,7,45
8663711,-0.658,434,24,45
8663716,-0.133,487,22,45
8663730,-0.619,438,19,45
8663742,-0.705,429,18,45
8663744,-1.047,395,18,45
8663749,-0.903,410,21,45
8663750,-0.751,425,19,45
8663752,-0.509,449,26,45
8663764,-1.114,389,14,45
8663768,0.427,543,27,45
8663773,-1.039,396,20,45
8663774,-0.146,485,26,45
8663917,0.196,520,31,45
8664120,-1.301,370,13,45
8664268,-0.85,415,15,45
8664274,-0.828,417,23,45
8664275,-1.144,386,15,45
8664302,-1.162,384,12,45
8664309,-0.071,493,25,45
8664311,0.229,523,19,45
8664662,-1.083,392,15,45
8665412,0.318,532,31,45
8665450,0.24,524,25,45
8665479,-0.019,498,19,45
8665483,-0.175,482,25,45
8665485,0.142,514,29,45
8665634,-1.36,364,14,45
8665639,-0.979,402,15,45
8665665,-1.271,373,14,45
8665669,0.296,530,36,45
8665687,-1.338,366,14,45
8666674,0.354,535,32,45
8666720,-0.102,490,26,45
8666733,0.586,559,32,45
8666796,-1.473,353,10,45
8666847,-0.659,434,18,45
8666945,-0.317,468,19,45
8667338,-1.065,393,13,45
8667359,-0.563,444,12,45
8667379,-1.195,381,15,45
8667661,-1.677,332,11,45
8667751,-1.448,355,13,45
